Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
0.49554434,-0.027467027,-0.88107425,-0.24697334
0.651278,-0.044745035,-0.5968795,-0.5689272
-0.28399664,-0.20546886,-0.1611509,0.037816275
-0.0030507515,-0.06646603,-0.050122295,-0.081016645
-0.4436975,-0.12313582,-0.45593196,-0.06399599
-0.6003263,-0.58772594,0.41664052,0.2125158
-1.236572,-0.8186702,-1.8860567,-1.1710128
0.025305865,-0.2693761,-0.33724216,-0.052181408
0.7656686,0.6909455,-1.0,-1.165425
-0.116338566,-0.07374103,0.08098704,-0.12091039
-0.39794,-0.31059313,-0.15490197,-0.09208437
0.09342168,0.04083027,-0.4436975,-0.30919936
0.15533604,0.05319895,-0.20065945,-0.3206158
0.19312459,0.05424106,0.056904852,-0.67053896
-0.8153086,-0.7890092,-0.92081875,-0.66543674
-0.5180799,-0.7078793,0.1388288,-0.029958826
0.2955671,0.0054849684,-0.019996628,-0.29349554
-1.537602,-1.4715126,0.22010809,-0.0698867
-0.3585259,0.04477632,-0.4202164,-0.3686776
-0.21467017,-0.24797627,-0.49485,-0.34654993
-0.4685211,-0.019978747,-0.6777807,-0.53723145
-0.36653155,-0.39365566,0.1172713,0.1259278
-0.21112488,-0.31963384,-0.5086383,-0.27777922
-1.69897,-0.67705095,-0.4685211,0.19133341
-0.25414482,-0.487404,-0.7619539,-0.65030104
-0.928118,-0.8827007,-0.40671393,-0.039931778
-0.69897,-0.7238196,0.0,0.27521673
-0.69897,-0.12956157,0.2787536,-0.028869241
-0.26760623,-0.19080156,-0.3767507,-0.44278845
-0.04095861,-0.02141869,0.008600172,-0.163387
-0.5850267,-0.5492589,-0.4202164,-0.49805036
-0.07007044,-0.039750703,-0.16813022,-0.13872647
-0.9586073,-0.5143526,-0.43179828,-0.08570658
-0.10237291,0.14975323,-0.82390875,-1.1045421
-0.5114493,-0.7085614,-1.3467875,-0.6990664
-1.6197888,-1.2999685,0.65417653,0.20673728
-1.39794,-0.9196061,0.365488,0.37666473
-1.154902,-1.1510725,-0.34678748,-0.41174263
0.07188201,-0.038162045,-0.10237291,-0.13769965
-0.79588,-0.80221856,-0.18045606,-0.25174397
-0.25181198,-0.19486204,-0.124938734,-0.05140502
-0.19449914,-0.30527395,0.041392684,-0.008035436
-0.0043648053,0.31137633,-0.85387194,-0.9292701
-0.1674911,0.11246519,-0.34678748,-0.34715822
-0.68824613,-0.5221314,-0.09044397,-0.24427474
0.26974636,-0.04711148,-0.59176004,-0.10274042
0.2764618,0.18118422,-0.32790214,-0.47568324
-0.30103,-0.12093077,-0.0043648053,-0.30271578
-0.85387194,-0.69687164,0.11394335,0.36920974
-0.79588,-0.024691716,0.372912,-0.2076743
-1.0177288,-0.9744818,0.8739016,0.55600667
-0.54975086,-0.6177039,0.09342168,0.24775472
0.5428254,0.41453445,-0.61978877,-0.7606048
0.12057393,0.19765837,-0.65757734,-0.46089494
-0.35951856,-0.32591903,0.095518045,0.18636493
-0.536107,-1.0111806,0.365488,0.4895552
-0.54515517,-0.56291103,-0.2967086,-0.37741664
0.001949941,0.036847606,-0.25414482,-0.23076895
-0.050122295,-0.05380954,-0.0030507515,-0.14247254
-1.0457575,-0.9783133,-0.4685211,0.2914408
-0.52287877,-0.24762946,-0.04575749,0.06652802
-0.48148605,-0.83369297,-0.022276394,0.114198774
-1.2218487,-1.4226917,-0.27572414,-0.32413337
-0.65757734,0.27632833,-2.0,-1.0889157
-0.32790214,-0.30686042,0.12057393,0.05548713
0.3783979,0.05689521,-0.30980393,-0.29861638
-0.22184876,-0.01865524,-0.11918641,-0.41315156
-0.10347378,0.21865,0.3138672,-0.42534545
0.18610838,-0.17868719,-0.29242983,-0.44164017
0.39915434,-0.42605364,-0.38933983,-0.104281396
-0.2596373,-0.20742752,-1.39794,-1.4969587
-0.06550155,-0.32580814,-0.14874165,-0.22417271
0.09342168,-0.27187294,-0.055517327,-0.3301934
-0.7189666,-0.43873435,-0.74958,-0.76326996
0.4329693,0.10118385,-0.7986029,-0.33841425
-0.13667715,-0.107622355,-0.3990271,-0.10065702
0.5185139,0.43717575,-0.69897,-1.488736
-0.7447275,-0.60765886,-0.31875876,-0.3057054
0.11394335,-0.23520465,-0.07058107,-0.05897029
0.6946052,0.18817593,-2.0,-1.4966205
-1.3372421,-1.3207006,-0.08512818,-0.10020171
-0.057991948,-0.18742102,-0.3757179,-0.37698928
0.07918125,-0.13360035,-0.050609995,-0.08639268
-0.48545223,-0.36067098,0.4784222,0.1444089
0.0685569,-0.076866694,0.050379757,-0.25455964
0.075546965,-0.22488299,-0.1426675,-0.031294633
-0.23882419,-0.13167849,-0.61978877,-0.08465314
0.0,0.32771373,0.0,-0.47489074
-0.4271284,-0.6523075,0.30319604,0.38634974
-0.19382003,-0.11081995,-0.25181198,-0.4468237
0.19893187,-0.07823816,-0.111259036,-0.16334286
-0.6777807,-0.6992638,-0.45593196,-0.9288462
-0.48148605,-0.45839196,-0.4685211,-0.53530115
0.22271647,0.1745118,-0.36653155,-0.7147164
-0.6595559,-0.38807,0.37657696,0.16225392
-0.36451626,0.11383666,0.14612803,-0.32761753
-0.3265183,-0.37170643,-0.3511523,-0.41824827
-1.39794,-0.39988297,-0.15490197,0.027981672
-0.27901426,-0.20282184,0.10037055,0.046021517
-0.27644172,-0.33065933,-0.4212176,-0.42238656
-0.7144427,-0.5474249,0.053078443,-0.13528313
0.6172101,0.55815136,-0.71669877,-0.86892515
0.27415785,0.05359316,-0.7447275,-0.7091693
0.014520539,0.31589574,0.14612803,-0.6149081
-2.0,-1.2104126,-0.32790214,0.0077203996
0.60314435,0.48143506,-1.6382722,-1.4952108
