Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.39794,-1.0757259,-0.9706162,-0.6664147
-1.39794,-0.6115134,0.48000693,0.3486563
-0.4685211,0.10094881,-1.69897,-1.2046283
-0.20065945,-0.21676259,-0.050609995,-0.073579475
-1.2218487,-1.211244,0.0,0.12916663
-1.5228788,-1.6058922,-0.49485,-0.36460617
-0.32790214,-0.599389,0.2764618,0.25957546
-1.60206,-1.1824715,-1.6197888,-1.8447677
0.40823996,0.1811707,-1.69897,-1.1775343
-0.30980393,-0.45925504,0.17609125,-0.16965404
-0.9586073,-0.93702054,-1.5228788,-0.9904706
-1.154902,-0.6581816,-0.60206,-2.0451293
-0.14026143,-0.3456252,-0.40616032,-0.16335844
-0.85387194,-0.48999512,-0.04575749,-0.45015025
-0.58004427,-0.84877163,0.24179544,-0.024856403
0.10037055,0.05059689,-0.5086383,-0.3713011
-0.20065945,-0.085412644,0.36921585,-0.2501437
-0.0056828475,-0.08699503,-0.65757734,-0.6295918
-0.1674911,-0.014475137,-0.20760831,-0.1676653
-1.69897,-0.8555111,0.28330123,0.29853994
-0.055517327,-0.17265907,-0.65757734,-0.8520876
-0.61978877,-0.23668383,-0.15490197,0.014718577
-1.30103,-1.3005544,0.69897,0.52927727
0.15228835,-0.31646848,-0.33724216,0.006551251
-1.0,-1.013459,0.2787536,0.3181379
0.2600714,-0.32382405,-0.65757734,-0.35017267
0.0,-0.007307101,0.07918125,-0.5747791
0.7652959,0.52333117,-1.537602,-1.2087101
0.012837225,-0.252208,-0.1674911,0.040869713
-0.82390875,-0.9458007,0.510545,0.23359406
-0.61978877,-0.9772775,-1.0,-0.5780376
-0.24412514,-0.28216895,-0.9586073,-1.0131735
-0.5086383,-0.6254154,-0.4089354,-0.6304789
-0.7447275,-0.9431139,0.12057393,0.104297936
-1.7212464,-1.0164274,0.701568,0.25537723
-0.48148605,-0.59463006,0.38111508,0.31299606
0.11394335,-0.11947192,-0.7212464,-0.11994433
-0.7212464,-0.018387515,-0.79588,-1.1693351
-1.1487416,-0.65767187,0.15228835,0.14290643
0.08278537,-0.17021048,-0.18708664,-0.17601347
0.013047996,0.031860378,-0.2672043,-0.38263047
0.3138672,-0.29017824,-0.10347378,0.1157217
-1.69897,-0.6390491,0.8808136,0.15874788
-0.7695511,-1.1567373,0.17318627,0.5455272
0.04921802,-0.46463013,0.07188201,-0.0471004
-1.39794,-0.6152118,-0.7670039,-1.518619
0.43376982,0.003959041,-0.5883803,-0.57148695
0.041392684,0.08506474,-0.8569852,-0.45113456
-0.31875876,-0.15344076,0.31806335,-0.05121534
-0.013228266,-0.034717884,-0.08092191,-0.17411084
-0.85387194,-1.5470871,0.12385164,0.37114102
-0.49485,-0.3175647,0.09342168,-0.13228893
-1.0,-0.8899459,0.7656686,0.60723156
-0.5406075,-0.363383,0.029383779,0.02469872
0.49554434,0.22034368,-0.41228902,-0.5706986
0.15866399,-0.03997329,-0.50723964,-0.347361
0.1818436,0.5368652,-0.69897,-1.3036171
-0.38721615,-0.6646859,0.21748394,0.06091608
0.16731733,-0.035305392,-0.537602,-0.2658288
0.045322977,0.06892994,-0.55284196,-0.40859514
-1.5228788,-1.8166788,-0.45593196,-0.39406505
-0.2798407,-0.3153452,0.12221588,0.08721322
-0.45593196,-0.4263053,-0.4436975,-0.089034066
-0.28988263,-0.4094154,-0.32254514,-0.29491815
0.21748394,0.14975853,-0.23657201,-0.45630014
-0.7619539,-0.47339225,-0.25414482,-0.48450524
-0.15490197,0.47974962,-1.39794,-0.9050656
-0.82390875,-0.25470322,0.6532125,0.049919903
-0.08618615,-0.09113455,-1.5228788,-1.0740415
-0.20760831,-0.3242679,-0.04575749,0.032114863
-1.9586073,-0.69961977,0.49554434,0.4991579
-0.04191415,-0.22295006,0.13672057,-0.02484636
-1.69897,-1.3796387,-0.7212464,-0.7627922
-0.60206,-1.3803495,0.85125834,0.68528247
-0.4212176,-0.38049364,-0.27644172,-0.3281118
0.49554434,0.038606275,-0.88107425,-0.39824834
0.651278,0.10397942,-0.5968795,-0.43594384
-0.28399664,-0.3532921,-0.1611509,0.14529243
-0.0030507515,-0.11446224,-0.050122295,-0.087546885
-0.4436975,-0.49853426,-0.45593196,-0.23873094
-0.6003263,-1.0754164,0.41664052,0.5873301
-1.236572,-1.0676811,-1.8860567,-1.2160615
0.025305865,-0.3463496,-0.33724216,-0.228282
0.7656686,0.65034014,-1.0,-1.0683059
-0.116338566,-0.05410186,0.08098704,-0.18428436
-0.39794,0.0008655265,-0.15490197,-0.18088402
0.09342168,0.02783231,-0.4436975,-0.35721922
0.15533604,0.051737126,-0.20065945,-0.38326216
0.19312459,0.06295897,0.056904852,-0.77309275
-0.8153086,-0.80651206,-0.92081875,-0.7816937
-0.5180799,-0.4836763,0.1388288,-0.035417452
0.2955671,0.009627316,-0.019996628,-0.24391565
-1.537602,-1.4469031,0.22010809,0.4072503
-0.3585259,-0.07250638,-0.4202164,-0.19618785
-0.21467017,-0.1359734,-0.49485,-0.38229334
-0.4685211,-0.2926587,-0.6777807,-0.48358762
-0.36653155,-0.4771301,0.1172713,0.082886875
-0.21112488,-0.16624808,-0.5086383,-0.27223825
-1.69897,-1.2124802,-0.4685211,0.25124216
-0.25414482,-0.45491645,-0.7619539,-0.51374036
-0.928118,-1.1985394,-0.40671393,0.06581071
-0.69897,-0.85842717,0.0,0.34512854
-0.69897,-0.21763027,0.2787536,0.0017291158
-0.26760623,-0.05808065,-0.3767507,-0.37067696
-0.04095861,-0.0052445047,0.008600172,-0.17506003
-0.5850267,-0.53390026,-0.4202164,-0.49281228
-0.07007044,-0.053321116,-0.16813022,-0.14940532
-0.9586073,-1.1232632,-0.43179828,-0.35296446
-0.10237291,-0.026635244,-0.82390875,-0.97867733
-0.5114493,-0.6903407,-1.3467875,-0.8627946
-1.6197888,-1.4778355,0.65417653,0.5698466
-1.39794,-1.0441095,0.365488,0.5086119
-1.154902,-1.176776,-0.34678748,-0.022600416
0.07188201,-0.010634419,-0.10237291,-0.18162566
-0.79588,-0.571148,-0.18045606,0.19500202
-0.25181198,-0.15644631,-0.124938734,-0.0526634
-0.19449914,-0.26828527,0.041392684,-0.004793763
-0.0043648053,0.39168787,-0.85387194,-1.1429733
-0.1674911,-0.02215213,-0.34678748,-0.18989444
-0.68824613,-0.881246,-0.09044397,-0.019016609
0.26974636,0.117750764,-0.59176004,-0.31566674
0.2764618,0.28564626,-0.32790214,-0.61117524
-0.30103,-0.06428729,-0.0043648053,-0.39177305
-0.85387194,-0.81583196,0.11394335,0.36223376
-0.79588,-0.3095211,0.372912,0.041596904
-1.0177288,-0.8667689,0.8739016,0.536134
-0.54975086,-0.6008766,0.09342168,0.27872592
0.5428254,0.4926864,-0.61978877,-0.7013408
0.12057393,0.3009901,-0.65757734,-0.6779314
-0.35951856,-0.23276684,0.095518045,0.08057091
-0.536107,-0.791604,0.365488,0.4304173
-0.54515517,-0.60098225,-0.2967086,-0.33798045
0.001949941,-0.017297227,-0.25414482,-0.21008043
