Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
-1.5228788,-0.73521423,-0.060480747,0.10279194
-0.9913998,-0.52621394,-1.0,-0.8796358
-0.89279,-0.6699256,-0.3990271,-0.7268911
-0.35654733,-0.36079156,-0.022276394,-0.19862902
0.004321374,-0.3040968,0.0,0.029095717
-0.5551748,-0.58179617,-1.1904403,-0.8617967
-1.0,-0.9826864,0.14921911,0.19791165
-0.22184876,-0.282384,-0.1674911,-0.38186106
-0.35654733,-0.46647662,-0.30103,-0.44497243
-0.4089354,-0.013553417,0.47712126,-0.21986791
0.38738984,0.08882876,-1.69897,-1.3291353
-0.38721615,0.06612151,-0.9586073,-0.532886
-1.09691,-0.35348243,0.47683161,-0.59338725
-1.154902,-1.07565,0.6434527,0.6140794
-0.22184876,0.019448832,-0.12784372,-0.6505148
-0.9586073,-0.45578444,-0.38721615,-0.010929726
-0.21609642,-0.5263235,0.21748394,0.032946892
-0.27572414,-0.351921,-1.0,-0.8546625
0.1271048,-0.26991352,-0.34678748,-0.31072968
0.19589965,-0.32652763,-0.8068754,-1.302071
0.0,-0.5910539,0.0,-0.3032574
-0.096910015,-0.6613562,-0.30103,-0.4884549
-0.79588,-0.52944356,-0.52287877,-0.4797784
-0.5086383,-0.28521067,-0.79588,-0.9269924
-0.7212464,-0.20498718,0.5987905,-0.26787043
-0.008773924,-0.120733134,0.07188201,-0.18101192
-0.30980393,-0.9634815,0.31175387,-1.0339838
-0.20760831,-0.10117064,0.05076631,0.023899756
-0.43179828,-0.6483389,0.36921585,0.12718323
0.050379757,-0.22975568,0.0685569,-0.05271022
0.35793483,-0.44102573,-0.41228902,-0.08409633
-0.21467017,-0.0069577238,-0.060480747,-0.30363256
-0.59859943,-1.2102503,-0.87614834,-0.63949937
-0.7695511,-0.17378883,0.39269695,-0.530709
-0.7399286,-0.84581935,-1.5228788,-0.60952145
-1.39794,-0.9238784,-0.5086383,-0.25774273
0.075546965,0.11741577,-0.56863624,-0.57993186
-0.1674911,-0.22935791,-0.2596373,-0.30571824
-1.30103,-0.8497996,-0.21609642,0.14390665
0.10037055,0.15664351,-0.27901426,-0.32524252
-0.45593196,-0.18145393,-0.4436975,-0.11418655
-0.3767507,-0.78966695,0.6147918,0.27242756
0.004321374,-0.25190017,-0.3767507,-0.010325648
0.11058971,-0.07676707,-1.0,-1.4470826
0.9344984,0.35927156,-0.63827217,-0.82391393
-0.85387194,-0.59033877,-0.69897,-0.5140122
-0.7212464,-0.6572105,-0.49485,-0.3638739
-0.27736607,-0.39006647,-0.52287877,-0.36661512
-0.1674911,0.16812341,-1.39794,-1.1904972
-1.5228788,-1.093371,-0.35654733,-0.4497025
-1.69897,-1.7617815,-0.4436975,-0.16253233
0.1398791,-0.035943545,-0.026872147,-0.08183651
0.15228835,0.43365344,-0.27572414,-0.6562544
0.04921802,0.052665614,-0.30103,-0.34692955
-0.04095861,-0.059230648,-0.013228266,-0.14822567
-0.08092191,-0.021210767,-0.33724216,-0.39752465
-1.2218487,-0.2996958,0.14612803,-0.44880927
-1.6575773,-2.043491,-0.4596705,-0.6613704
0.012837225,0.03126762,-0.39794,-0.40095377
-0.55284196,-0.22322841,0.10037055,-0.2564454
-1.031517,-0.8458192,-0.31336373,-0.6095215
-0.33724216,-0.6386676,0.39967373,0.18086785
-1.0457575,-0.6383113,-0.09151498,-0.07572167
-0.5850267,-0.1809414,-1.69897,-1.2691042
0.31175387,-1.1113069,-0.30980393,-1.0458549
0.27989498,-0.17008112,-0.11918641,-0.1478689
0.20951502,0.20038605,-0.15490197,-0.46340835
0.2329961,-0.047643565,-0.88605666,-0.28563994
-0.7212464,-0.3090788,0.11394335,-0.42771924
0.4044916,-0.09316716,-0.77469075,-1.169758
-0.34678748,-0.3537858,-0.42887372,-0.5069018
0.1430148,-0.05998738,-0.17392519,-0.22368044
-1.5228788,-0.9615478,0.10720997,0.07603841
-0.35654733,-0.46885797,-0.04095861,-0.49878153
-0.013228266,-0.68403894,0.5646661,-0.1705687
0.44247976,0.07365195,-1.69897,-0.87808156
-0.19382003,-0.089660145,-0.013228266,-0.34674236
-0.4202164,-0.43704417,-0.5850267,-0.55474895
-1.0,-0.9457989,0.64836,0.2763964
-0.17457388,-0.081531785,-0.5426228,-0.91962075
-1.5850266,-1.5466174,0.5622929,0.2503068
-0.34678748,-0.4959448,-0.6777807,-0.55649173
-0.67366415,-0.770134,-0.536107,-0.07594547
-0.17979854,-0.018317454,0.24104816,-0.090991795
-0.5606673,-0.28421873,0.32633585,0.044704087
-0.530178,-0.4176675,0.5438198,-0.55006266
-0.82390875,-0.5214006,-0.1611509,-0.27070245
-0.52287877,-0.44156125,-0.79588,-0.5563678
0.66370094,0.32281256,-0.79588,-1.18891
-1.0457575,-0.7938261,0.875929,0.32716054
-0.4621809,-0.91168386,0.14363924,-0.004428908
-0.17392519,-0.46270207,-0.6777807,-0.698889
-0.19654289,-0.051971965,-0.40230483,-0.45986384
-0.35654733,-0.45794344,-0.34678748,-0.29644847
-0.44009337,-0.008702978,-0.07007044,-0.54543674
-1.4317982,-1.1937796,0.9344984,0.75776714
-0.39147398,-0.7244374,-0.20342566,-0.6090437
-0.60206,-1.3297678,-1.154902,-0.21985805
-0.105130345,-0.14430033,0.008600172,-0.08572218
-2.0,-1.4229907,-0.24412514,-0.24262643
-0.48148605,-1.0024068,-0.61978877,-1.1805882
