Actual_r1,Predicted_r1,Actual_r2,Predicted_r2
0.15866399,0.09456991,-0.50723964,-0.5526699
0.1818436,0.42586765,-0.69897,-1.2346611
-0.38721615,-0.54146355,0.21748394,0.2967187
0.16731733,0.21210006,-0.537602,-0.33453655
0.045322977,0.09071699,-0.55284196,-0.49899787
-1.5228788,-1.4971412,-0.45593196,-0.45910066
-0.2798407,-0.27891645,0.12221588,0.036771424
-0.45593196,-0.14579388,-0.4436975,-0.7100673
-0.28988263,-0.41191033,-0.32254514,-0.41979373
0.21748394,0.18553218,-0.23657201,-0.27082413
-0.7619539,-0.45384905,-0.25414482,-0.3974171
-0.15490197,0.20964792,-1.39794,-1.0754184
-0.82390875,-0.30374464,0.6532125,0.06205239
-0.08618615,-0.55327827,-1.5228788,-1.1096364
-0.20760831,-0.2220119,-0.04575749,-0.10090749
-1.9586073,-1.6104479,0.49554434,0.45158476
-0.04191415,-0.1684013,0.13672057,0.062497787
-1.69897,-1.6828971,-0.7212464,-0.69375604
-0.60206,-0.6003809,0.85125834,0.6310114
-0.4212176,-0.46767595,-0.27644172,-0.5278884
0.49554434,0.29262778,-0.88107425,-0.6333755
0.651278,0.18222159,-0.5968795,-0.53329885
-0.28399664,-0.23557904,-0.1611509,-0.05077275
-0.0030507515,-0.018886019,-0.050122295,-0.032015093
-0.4436975,-0.36987427,-0.45593196,-0.18041651
-0.6003263,-0.69172776,0.41664052,0.4938333
-1.236572,-1.594153,-1.8860567,-1.9590117
0.025305865,-0.025005251,-0.33724216,-0.5813359
0.7656686,0.90422565,-1.0,-1.0480744
-0.116338566,0.15565833,0.08098704,-0.30783543
-0.39794,-0.1466935,-0.15490197,-0.23975646
0.09342168,0.1012696,-0.4436975,-0.54214233
0.15533604,0.09332268,-0.20065945,-0.5189594
0.19312459,0.13878116,0.056904852,-0.10396903
-0.8153086,-0.5692026,-0.92081875,-0.80405015
-0.5180799,-0.54200083,0.1388288,0.24560907
0.2955671,0.29475152,-0.019996628,-0.028457008
